epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1028.15,1.3102,3.00473,1.66062,0.22603,0.24652,0.1455,0.0746,1.53459,3.21357,1.94161,0.000301414,0.000301414,0.000301414
2,1974.01,1.35939,2.29107,1.70109,0.35306,0.24447,0.19881,0.09983,1.69338,2.87946,2.18232,0.00059843,0.00059843,0.00059843
3,2811.39,1.40032,2.20658,1.72525,0.31306,0.24766,0.19385,0.09486,1.83722,2.74078,2.40757,0.000889447,0.000889447,0.000889447
4,3662.34,1.399,2.16028,1.73608,0.32554,0.24547,0.18354,0.08735,1.68012,2.61579,2.27441,0.000882003,0.000882003,0.000882003
5,4510.71,1.37941,2.06956,1.70795,0.28634,0.28752,0.21083,0.10083,1.69091,2.35552,2.18557,0.000873004,0.000873004,0.000873004
6,5356.13,1.3219,1.96553,1.68213,0.31428,0.29005,0.22612,0.11432,1.62419,2.38599,2.08662,0.000864004,0.000864004,0.000864004
7,6375.87,1.3099,1.91224,1.66249,0.31254,0.30055,0.25291,0.14394,1.54294,2.33621,2.01752,0.000855005,0.000855005,0.000855005
8,7546.15,1.28808,1.86158,1.6485,0.26146,0.31674,0.21241,0.11229,1.49588,2.61744,1.94041,0.000846006,0.000846006,0.000846006
9,8420.42,1.26778,1.84202,1.62434,0.48884,0.31654,0.31039,0.17014,1.57629,2.13631,2.01391,0.000837007,0.000837007,0.000837007
10,9312.44,1.24915,1.7765,1.61592,0.36186,0.30033,0.27486,0.15858,1.55447,2.13342,2.00377,0.000828008,0.000828008,0.000828008
11,10374.1,1.23047,1.77235,1.60103,0.36246,0.31591,0.28783,0.16826,1.39965,2.01077,1.86253,0.000819009,0.000819009,0.000819009
12,11341.1,1.21024,1.70965,1.58133,0.3393,0.33072,0.26476,0.15584,1.44824,2.1424,1.94606,0.00081001,0.00081001,0.00081001
13,12247.1,1.21108,1.67084,1.58303,0.33245,0.33454,0.26045,0.14532,1.51999,2.18559,2.06383,0.000801011,0.000801011,0.000801011
14,13084.6,1.19735,1.65598,1.57403,0.38008,0.35383,0.31367,0.18775,1.38162,2.04557,1.83278,0.000792012,0.000792012,0.000792012
15,13939.8,1.1695,1.61244,1.55589,0.41756,0.3774,0.34137,0.21513,1.33725,1.85269,1.81915,0.000783013,0.000783013,0.000783013
16,14825.3,1.16863,1.59052,1.55244,0.38907,0.33515,0.31636,0.19112,1.36805,2.00608,1.77711,0.000774013,0.000774013,0.000774013
17,15745.4,1.1432,1.54123,1.52954,0.4757,0.32525,0.32721,0.19653,1.4053,1.89501,1.87684,0.000765014,0.000765014,0.000765014
18,16610,1.15194,1.53814,1.53182,0.38222,0.39767,0.34349,0.2199,1.37706,1.93527,1.8329,0.000756015,0.000756015,0.000756015
19,17439.7,1.15483,1.52624,1.5428,0.57037,0.38517,0.39001,0.24024,1.34828,1.92393,1.79796,0.000747016,0.000747016,0.000747016
20,18267,1.12612,1.4868,1.50391,0.43403,0.3665,0.34076,0.22409,1.35864,1.84739,1.82196,0.000738017,0.000738017,0.000738017
21,19109.3,1.11127,1.46846,1.49233,0.42323,0.34152,0.33918,0.20574,1.35152,1.96919,1.82845,0.000729018,0.000729018,0.000729018
22,19978.2,1.11122,1.43309,1.49084,0.3398,0.3948,0.33932,0.22194,1.31838,1.9029,1.76026,0.000720019,0.000720019,0.000720019
23,20881.5,1.08862,1.41509,1.48092,0.39834,0.34068,0.32359,0.19837,1.30489,1.87044,1.74823,0.00071102,0.00071102,0.00071102
24,21681.4,1.09282,1.41093,1.48714,0.39654,0.37637,0.35423,0.22227,1.33168,1.85045,1.7964,0.000702021,0.000702021,0.000702021
25,22481.7,1.09288,1.39539,1.47686,0.40175,0.37417,0.35908,0.22531,1.31058,1.83534,1.75628,0.000693022,0.000693022,0.000693022
26,23282.4,1.0756,1.3781,1.46912,0.4352,0.35663,0.36286,0.23077,1.29446,1.82872,1.7274,0.000684022,0.000684022,0.000684022
27,24075.7,1.07417,1.34353,1.46718,0.42139,0.365,0.35387,0.23183,1.30311,1.93046,1.7667,0.000675023,0.000675023,0.000675023
28,24855.6,1.06524,1.34477,1.46317,0.52283,0.36828,0.3883,0.24446,1.27606,1.74258,1.70922,0.000666024,0.000666024,0.000666024
29,25631.5,1.05151,1.32554,1.44959,0.50883,0.39204,0.40605,0.26983,1.25705,1.74021,1.70091,0.000657025,0.000657025,0.000657025
30,26427.3,1.04582,1.3112,1.44547,0.44766,0.40866,0.39537,0.25878,1.27867,1.74546,1.7339,0.000648026,0.000648026,0.000648026
31,27207.9,1.05502,1.29301,1.44656,0.51229,0.36662,0.37859,0.23978,1.26386,1.73367,1.70773,0.000639027,0.000639027,0.000639027
32,27987,1.03359,1.27263,1.42236,0.55447,0.37689,0.3994,0.25696,1.27945,1.77106,1.71658,0.000630028,0.000630028,0.000630028
33,28757.5,1.01524,1.23502,1.41886,0.46531,0.39748,0.38013,0.24808,1.25702,1.9403,1.70057,0.000621029,0.000621029,0.000621029
34,29536.1,1.02702,1.22123,1.41606,0.46817,0.39271,0.38618,0.25453,1.27527,1.73264,1.71363,0.00061203,0.00061203,0.00061203
35,30311.9,1.01079,1.21246,1.41913,0.4511,0.39917,0.39928,0.26564,1.249,1.77436,1.68503,0.000603031,0.000603031,0.000603031
36,31076.5,1.00911,1.20159,1.40426,0.54486,0.37846,0.42538,0.27305,1.25227,1.67892,1.73492,0.000594031,0.000594031,0.000594031
37,31852,1.00408,1.20703,1.40694,0.51816,0.40485,0.41227,0.27217,1.24343,1.69233,1.68787,0.000585032,0.000585032,0.000585032
38,32623.2,0.98608,1.18395,1.39183,0.52222,0.35773,0.38399,0.24692,1.2906,1.73728,1.75346,0.000576033,0.000576033,0.000576033
39,33394.4,0.9785,1.14568,1.38754,0.51994,0.41175,0.41695,0.28219,1.23945,1.69963,1.71034,0.000567034,0.000567034,0.000567034
40,34166.3,0.98196,1.14105,1.38655,0.45713,0.34889,0.36895,0.25122,1.26739,1.79007,1.71421,0.000558035,0.000558035,0.000558035
41,34946,0.96484,1.12384,1.37567,0.53157,0.39567,0.40798,0.27224,1.2144,1.65259,1.66953,0.000549036,0.000549036,0.000549036
42,35728.5,0.98112,1.13731,1.37906,0.49607,0.36614,0.38718,0.25685,1.27623,1.72508,1.74868,0.000540037,0.000540037,0.000540037
43,36508,0.98141,1.12018,1.38447,0.53193,0.3846,0.41586,0.2741,1.26096,1.6865,1.7392,0.000531038,0.000531038,0.000531038
44,37324.8,0.94758,1.07897,1.35605,0.46354,0.43231,0.42409,0.28205,1.24986,1.65454,1.72168,0.000522039,0.000522039,0.000522039
45,38158.5,0.94776,1.07311,1.35747,0.49285,0.42312,0.41591,0.2731,1.25477,1.71678,1.72948,0.00051304,0.00051304,0.00051304
46,38959.6,0.95111,1.06857,1.35959,0.45092,0.4403,0.42048,0.27198,1.26182,1.67126,1.71839,0.00050404,0.00050404,0.00050404
47,39793.3,0.9476,1.05591,1.3457,0.54624,0.40177,0.42228,0.28242,1.23009,1.6533,1.68918,0.000495041,0.000495041,0.000495041
